acronym,expansion_a,hits_a,expansion_b,hits_b,similarity,decision
"ראב״ד","איתי ראב""ד",6,"גלית ראב""ד",5,0.8,keep
"רי״א","רבי יצחק אברבנאל",79,"רבי יצחק אבוהב",53,0.8,keep
"תו״ח","תורת חיים על התורה מרבי חיים הגר",1,"תורת חיים על התלמוד מרבי אברהם חיים שור",1,0.789,keep
"אג״נ","אדון וגברת נכבדים",0,"אדון/גברת נכבד/ה",0,0.788,keep
"דחב״ש","דור חורבן בית שני",0,"דור חכמי בית שני",0,0.788,keep
"האר״י","האדון רבי יצחק",1,"האלהי רבי יצחק",0,0.786,keep
"מהר״ם","רבי מרדכי יפה",69,"רבי מרדכי בריסק",4,0.786,keep
"מהר״ם","רבי מרדכי בנט",28,"רבי מרדכי בריסק",4,0.786,keep
"בד״צ","בית דין צבאי",316,"בית דין צדק",78,0.783,keep
"ביד״צ","בית דין צבאי",316,"בית דין צדק",78,0.783,keep
"בר״מ","בן רבי מרדכי",44,"בן רבי מאיר",41,0.783,keep
"בר״ש","בן רבי שלמה",32,"בן רבי שמשון",4,0.783,keep
"מהרש״ק","ישראל מהרשק",3,"שמואל מהרש""ק",2,0.783,keep
"מהר״ם","רבי משה מינץ",16,"רבי משה שיק",5,0.783,keep
"מוכ״ז","מוסר כתב זה",3,"מוליך כתב זה",0,0.783,merge
"עמ״ש","ערעור משפחה",2,"ערעור מס שבח",1,0.783,keep
"ש״ש","שעות שבועיות",72,"שעות שנתיות",5,0.783,keep
"ענ״א","עיבוד נתונים אוטומטי",5,"עיבוד נתונים אלקטרוני",3,0.78,keep
"אה״ב","ארצות הברית",106217,"את הבית",3121,0.778,keep
"א״א","ארך אפים",38,"אריך אנפין",4,0.778,merge
"ביה״מ","בית המשפט",13236,"בית המדרש",2432,0.778,keep
"דה״כ","דברי הכתוב",8,"דברי הכל",7,0.778,keep
"ד״ר","דברי רבי־",258,"דברים רבה",54,0.778,keep
"ז״ק","זרע קיים",0,"זרעא קיימא",0,0.778,merge
"מכ״ע","מכתב עת",16,"מכתב עִתִּי",0,0.778,merge
"מל״ל","המוסד לביטוח לאומי",619,"המטה לביטחון לאומי",235,0.778,keep
"מ״מ","ממלא מקום",1575,"מראה מקום",300,0.778,keep
"ס״א","סימן אל""ף",0,"סעיף אל""ף",0,0.778,merge
"צ״ק","צוות קרקע",80,"ציוד קרקע",9,0.778,keep
"ראב״ד","ראב""ד הראשון (1110",1,"ראב""ד השלישי (1110",1,0.778,
"ר״י","רבי יהודה",3027,"רבי יהושע",1240,0.778,keep
"שו״ס","שותף סוד",23,"שותפות סוד",2,0.778,keep
"תמ״ש","תיק משפטי",42,"תיק משפחה",3,0.778,keep
"א״ל","אמר לו",1124,"אמר ליה",126,0.769,keep
"בכ״ז","בכל זאת",3604,"בכל זה",42,0.769,merge
"ב״ד","בעל דעת",8,"בן דעת",7,0.769,merge
"ב״ר","בן רבי",1133,"בן רֶבּ",0,0.769,merge
"ה״ה","האדון הנכבד",5,"האדונים הנכבדים",3,0.769,keep
"מהר״ם","רבי מרדכי יפה",69,"רבי מרדכי בנט",28,0.769,keep
"מהר״ם","רבי מאיר פישלס",9,"רבי מאיר שיף",4,0.769,keep
"שב״ד","שליחי בית דין",4,"שופטי בית דין",0,0.769,keep
"ת״א","ת""א 35",19,"ת""א 125",-1,0.769,keep
"ראב״ד","ראב""ד השלישי (1110",1,"ראב""ד השני (1085",1,0.765,keep
"א״ב","איתור בית",3,"אישור בחירות",2,0.762,keep
"בר״מ","בן רבי משה",78,"בן רבי מאיר",41,0.762,keep
"חזל״ש","חזרה לשירות",97,"חזרה לשגרה",39,0.762,keep
"צ״ל","צריך להיות",2888,"צריך להוכיח",61,0.762,keep
"ת״ע","תוכנית עבודה",145,"תיק עבודה",3,0.762,keep
"מקמש״ר","מפקדת קצין המשא""ן הראשי",0,"מפקדת קצין מודיעין שדה ראשי",0,0.76,keep
"מש״ל","מה שצריך להוכיח",3,"מה שצריך למצוא",0,0.759,merge
"רמ״ד","רבי משה די ליאון",10,"רבי משה מדסאו",1,0.759,keep
"מהרש״ק","מורנו הרב רבי שלמה קלוגר",0,"מורנו הרב רבי שמואל קיידאנובר",0,0.755,keep
