acronym,page_title,expansion,hits,script,initials_match,looks_like_person,source,domain,raw_line
מהרי״ל,"מהרי""ל (פירושונים)","ישיבת מהרי""ל",6,hebrew,False,True,wikipedia,,"ישיבת מהרי""ל – ישיבה ירושלמית בראשות הרב חזקיהו יוסף שרייבר הקרויה על שם מהרי""ל דיסקין"
מהרי״ל,"מהרי""ל (פירושונים)",מורנו הרב יעקב הלוי מולין,1,hebrew,True,True,wikipedia,,"מהרי""ל – מורנו הרב יעקב הלוי מולין, מנהיג יהדות אשכנז בסוף תקופת הראשונים ואבי מנהגי אשכנז"
מהרי״ל,"מהרי""ל (פירושונים)","רבי יהודה ליב שניאורסון (מהרי""ל מקאפוסט)",1,hebrew,False,True,wikipedia,,"רבי יהודה ליב שניאורסון (מהרי""ל מקאפוסט) – מייסד חסידות קאפוסט (ענף של חסידות חב""ד). בנו של רבי מנחם מנדל שניאורסון (ה""צמח צדק"")"
מהרי״ל,"מהרי""ל (פירושונים)","רבי יהושע לייב דיסקין (מהרי""ל דיסקין)",1,hebrew,False,True,wikipedia,,"רבי יהושע לייב דיסקין (מהרי""ל דיסקין) – רבה של בריסק ולאחר מכן ממנהיגי היישוב הישן בירושלים, מייסד בית היתומים דיסקין"
מהרי״ל,"מהרי""ל (פירושונים)","רבי יהודה לייב מינוביץ (מהרי""ל מינוביץ')",0,hebrew,False,True,wikipedia,,"רבי יהודה לייב מינוביץ (מהרי""ל מינוביץ') – רבה של ינוביץ' ומחבר הספר שארית יהודה. אחיו של רבי שניאור זלמן מלאדי מייסד חסידות חב""ד"
מהרי״ץ,"מהרי""ץ (פירושונים)",יוסף צבי דושינסקי,97,hebrew,False,True,wikipedia,,"יוסף צבי דושינסקי – גאב""ד העדה החרדית בירושלים, פוסק וראש ישיבה"
מהרי״ץ,"מהרי""ץ (פירושונים)",יצחק מוולוז'ין,39,hebrew,False,True,wikipedia,,"יצחק מוולוז'ין – ראש ישיבת וולוז'ין, בנו של רבי חיים מוולוז'ין"
מהרי״ץ,"מהרי""ץ (פירושונים)",יהודה צבי ברנדויין (הראשון),6,hebrew,False,False,wikipedia,,יהודה צבי ברנדויין (הראשון) – מייסד חסידות סטרטין
מהרי״ץ,"מהרי""ץ (פירושונים)",מארי יחיא צאלח,3,hebrew,False,False,wikipedia,,"מארי יחיא צאלח – מרבני תימן במאה ה-18, הראב""ד הקבוע השישי של בית דין צנעא בתימן"
מהרי״ץ,"מהרי""ץ (פירושונים)",יוסף צבי דינר (או דונר),1,hebrew,False,False,wikipedia,,"יוסף צבי דינר (או דונר) – בעל ""מנהגי מהרי""צ הלוי"" ו""מקדש הלוי"", ראב""ד UOHC"
מהרי״ץ,"מהרי""ץ (פירושונים)",רבנים מהאחרונים,1,hebrew,False,False,wikipedia,,רבנים מהאחרונים:
מהרש״א,"מהרש""א (פירושונים)",שלמה אליעזר אלפנדרי,34,hebrew,False,True,wikipedia,,"שלמה אליעזר אלפנדרי – פוסק ומקובל נפטר ב-1930. ידוע בשם מהרש""א אלפנדרי"
מהרש״א,"מהרש""א (פירושונים)",שמואל אליעזר הלוי איידלס,33,hebrew,False,True,wikipedia,,שמואל אליעזר הלוי איידלס – רב ומפרש התלמוד. 1555–1631
מהרש״א,"מהרש""א (פירושונים)",שמעון אגסי,31,hebrew,False,False,wikipedia,,"שמעון אגסי – מרבני בגדאד 1852–1914. מכונה גם הוא מהרש""א"
מהרש״א,"מהרש""א (פירושונים)",שלמה איגר,26,hebrew,False,True,wikipedia,,"שלמה איגר – רבן של קאליש ופוזנן, בנו של רבי עקיבא איגר, 1787–1852 ידוע בהגהותיו על התלמוד בשם גיליון מהרש""א"
מהרש״א,"מהרש""א (פירושונים)","חידושי הלכות ואגדות מהרש""א",1,hebrew,False,False,wikipedia,,"חידושי הלכות ואגדות מהרש""א – פירוש המהרש""א לתלמוד"
מהרש״ג,"מהרש""ג",רבי שמעון גרינפלד,9,hebrew,False,True,wikipedia,,"רבי שמעון גרינפלד - ראש ישיבה ופוסק הלכה הונגרי, דיין במונקאטש ורבה של סמיהאלי"
מהרש״ג,"מהרש""ג",רבי שמואל גאון,2,hebrew,False,True,wikipedia,,רבי שמואל גאון - רבה של סלוניקי
מהרש״ק,"מהרש""ק",רבקה מהרשק,39,hebrew,False,False,wikipedia,,רבקה מהרשק - חלוצה אשת העלייה השנייה. רעייתו הראשונה של לוי אשכול
מהרש״ק,"מהרש""ק",ר' שלמה קלוגר,7,hebrew,False,True,wikipedia,,"ר' שלמה קלוגר, המגיד מברודי – רב, מנהיג, פוסק ודרשן מפורסם ממוצא פולני, מגדולי התורה באמצע המאה ה-19"
מהרש״ק,"מהרש""ק",בני מהרשק,5,hebrew,False,False,wikipedia,,"בני מהרשק – הפוליטרוק של הפלמ""ח"
מהרש״ק,"מהרש""ק",ר' שלמה מקרלין,4,hebrew,False,True,wikipedia,,"ר' שלמה מקרלין – נמנה בין תלמידיו של המגיד ממעזריטש, והיה תלמידו של רבי אהרן הגדול מקרלין"
מהרש״ק,"מהרש""ק",ר' שמואל קאיידנובר,4,hebrew,False,True,wikipedia,,"ר' שמואל קאיידנובר, רבי אהרן שמואל מקוידנוב - מגדולי התורה במאה ה-17"
מהרש״ק,"מהרש""ק",ישראל מהרשק,3,hebrew,False,False,wikipedia,,ישראל מהרשק – חלוץ איש העלייה השלישית
מהרש״ק,"מהרש""ק",רבי שמשון בן יצחק מקינון (לעיתים,2,hebrew,False,True,wikipedia,,"רבי שמשון בן יצחק מקינון (לעיתים: מהרש""ק), בן המאה ה-13, כתב פירוש על ל""ב מידות שהתורה נדרשת בהן"
מהרש״ק,"מהרש""ק","שמואל מהרש""ק",2,hebrew,False,False,wikipedia,,"שמואל מהרש""ק – משורר, מחזאי, סופר ואיש חינוך רוסי ממוצא יהודי"
מהרש״ק,"מהרש""ק",מורנו הרב רבי שלמה כהן,0,hebrew,False,True,wiktionary,,#'''מ'''ורנו '''ה'''רב '''ר'''בי '''ש'''למה '''כ'''הן
מהרש״ק,"מהרש""ק",מורנו הרב רבי שלמה קלוגר,0,hebrew,True,True,wiktionary,,#'''מ'''ורנו '''ה'''רב '''ר'''בי '''ש'''למה '''ק'''לוגר (המגיד מברודי)
מהרש״ק,"מהרש""ק",מורנו הרב רבי שלמה קרלינר,0,hebrew,True,True,wiktionary,,#'''מ'''ורנו '''ה'''רב '''ר'''בי '''ש'''למה '''ק'''רלינר (חסידות קרלין)
מהרש״ק,"מהרש""ק",מורנו הרב רבי שמואל קיידאנובר,0,hebrew,True,True,wiktionary,,#'''מ'''ורנו '''ה'''רב '''ר'''בי '''ש'''מואל '''ק'''יידאנובר
מהר״י,"מהר""י","מהרי""ל",311,hebrew,True,True,wikipedia,,"מהרי""ל – רבי יעקב בן משה מולין, נקרא גם מהר""י סגל, מגדולי הראשונים במאה הי""ד, ממבססי מנהגי אשכנז"
מהר״י,"מהר""י",רבי יעקב בירב,60,hebrew,False,True,wikipedia,,"רבי יעקב בירב - מהר""י בירב, מגדולי חכמי ארץ ישראל במאות הט""ו והט""ז, מחדש הסמיכה"
מהר״י,"מהר""י",רבי יצחק אבוהב (גאון קסטיליה),22,hebrew,False,True,wikipedia,,"רבי יצחק אבוהב (גאון קסטיליה) - מהר""י אבוהב, מגדולי חכמי ישראל במאה הט""ו"
מהר״י,"מהר""י","מהר""י קורקוס",21,hebrew,True,True,wikipedia,,"מהר""י קורקוס – רבי יוסף קורקוס, מחכמי מצרים וארץ ישראל לאחר גירוש ספרד, מגדולי מפרשי הרמב""ם"
מהר״י,"מהר""י","מהר""י בן לב",17,hebrew,True,True,wikipedia,,"מהר""י בן לב – רבי יוסף בן דוד אִבן לב ידוע גם כמהריב""ל, מגדולי חכמי סלוניקי במאה ה-16"
מהר״י,"מהר""י",רבי ישראל יעקב אלגאזי,12,hebrew,False,True,wikipedia,,"רבי ישראל יעקב אלגאזי - מהר""י אלגאזי, חכם באשי ומחבר שו""ת מהר""י אלגאזי"
מהר״י,"מהר""י","מהר""י הלוי",6,hebrew,True,True,wikipedia,,"מהר""י הלוי – רבי יצחק הלוי, אחיו ורבו של רבי דוד הלוי סגל"
מהר״י,"מהר""י","מהר""י אסאד",5,hebrew,True,True,wikipedia,,"מהר""י אסאד – רבי יהודה אסאד, מרבני הונגריה במאה ה-19"
מהר״י,"מהר""י",רבי יהודה בן אליעזר הלוי מינץ,4,hebrew,False,True,wikipedia,,"רבי יהודה בן אליעזר הלוי מינץ - מהר""י מינץ, רב וראש ישיבה בפדובה איטליה, מגדולי ישראל במאות הט""ו והט""ז"
מהר״י,"מהר""י",רבי יוסף בן אברהם ג'יקטיליה,3,hebrew,False,True,wikipedia,,"רבי יוסף בן אברהם ג'יקטיליה - מהר""י ג'יקטיליה מגדולי המקובלים בספרד במאה הי""ג"
מהר״י,"מהר""י",רבי יעקב בן יהודה וייל,2,hebrew,False,True,wikipedia,,"רבי יעקב בן יהודה וייל - מהר""י וייל, נודע גם בכינוי מהרי""ו, מגדולי חכמי אשכנז במאה ה-15"
מהר״י,"מהר""י","רבי יצחק בן שמשון כ""ץ",2,hebrew,False,True,wikipedia,,"רבי יצחק בן שמשון כ""ץ - מהר""י כ""ץ, חתנו של המהר""ל מפראג"
מהר״י,"מהר""י",רבי יעקב בן שלמה אבן חביב,1,hebrew,False,True,wikipedia,,"רבי יעקב בן שלמה אבן חביב - מהר""י (אבן) חביב, מגדולי חכמי ספרד במאות הט""ו והט""ז ומנהיג קהילת מגורשי ספרד בסלוניקי, מחבר הספר עין יעקב"
מהר״י,"מהר""י",רבי ישראל בן רבי חיים ברונא,1,hebrew,False,True,wikipedia,,"רבי ישראל בן רבי חיים ברונא - מהר""י ברונא, מגדולי פוסקי אשכנז במאה ה-15, קרוי על שם עיר הולדתו ברן"
מהר״ם,"מהר""ם","מהר""ם חלאווה",150,hebrew,True,True,wikipedia,,"מהר""ם חלאווה – רבי משה חלאווה, מראשוני ספרד, (פעל במאה ה-14, בסביבות שנות הה'ק' – ה'ק""ס)"
מהר״ם,"מהר""ם","מהר""ם ס""ל",132,hebrew,True,True,wikipedia,,"מהר""ם ס""ל – רבי מאיר בן ברוך הלוי, מאחרוני הראשונים באשכנז, ראש ישיבת וינה (סוף המאה ה-14)"
מהר״ם,"מהר""ם",רבי מרדכי יפה,69,hebrew,False,True,wikipedia,,"רבי מרדכי יפה – ה""לבוש"". בספרות האחרונים מכונה גם מהר""ם יפה (נפטר ה'שע""ב, 1612)"
מהר״ם,"מהר""ם",רבי מרדכי בנט,28,hebrew,False,True,wikipedia,,"רבי מרדכי בנט – מהר""ם בנט (ה'תקי""ג, 1753 – ה'תקפ""ט, 1829)"
מהר״ם,"מהר""ם",רבי מאיר ברבי,24,hebrew,False,True,wikipedia,,"רבי מאיר ברבי – מהר""ם ברבי, רבה של פרשבורג (ה'תפ""ה, 1725 – ה' באב ה'תקמ""ט, 28 ביולי 1789"
מהר״ם,"מהר""ם",רבי מאיר איזנשטט,18,hebrew,False,True,wikipedia,,"רבי מאיר איזנשטט – מהר""ם א""ש (ה'ת""ל 1670 – ה'תק""ד, 1744)"
מהר״ם,"מהר""ם",רבי משה מינץ,16,hebrew,False,True,wikipedia,,"רבי משה מינץ – המוהר""ם מינץ רבה של בודפשט, (ה'תק""י, 1831 – ה'תקצ""א, 1750)"
מהר״ם,"מהר""ם",רבי מאיר קצנלנבוגן,15,hebrew,False,True,wikipedia,,"רבי מאיר קצנלנבוגן – מהר""ם פדובה (נפטר ה'שכ""ה, 1565)"
מהר״ם,"מהר""ם",רבי מאיר פישלס,9,hebrew,False,True,wikipedia,,"רבי מאיר פישלס – מהר""ם בומסלא, רבה של פראג, (בערך תס""ג, 1713 – י""ז בכסלו, תק""ל, 16 בדצמבר 1769)"
מהר״ם,"מהר""ם",רבי משה אלשקר,7,hebrew,False,True,wikipedia,,"רבי משה אלשקר – המהר""ם אלשקר (ה'רכ""ו, 1466 – ה'ש""ב 1542)"
מהר״ם,"מהר""ם",רבי משה גאלנטי (הראשון),5,hebrew,False,True,wikipedia,,"רבי משה גאלנטי (הראשון) – מהר""ם גאלנטי תלמידו של הבית יוסף, (נפטר אחרי ה'שע""ב 1612)"
מהר״ם,"מהר""ם",רבי משה שיק,5,hebrew,False,True,wikipedia,,"רבי משה שיק – מהר""ם שיק מקים תנועת האורתודוקסיה בהונגריה (ה'תקס""ז, 1807 – ה'תרל""ט, 1879)"
מהר״ם,"מהר""ם","מהר""ם סג""ל",4,hebrew,True,True,wikipedia,,"מהר""ם סג""ל – רבי משה (מולין) בן רבי יקותיאל הלוי. מרבני גליל ריינוס. אביו של מהרי""ל (נפטר ה'קמ""ז, 1387)"
מהר״ם,"מהר""ם",רבי יהודה מאיר שפירא,4,hebrew,False,True,wikipedia,,"רבי יהודה מאיר שפירא – מהר""ם שפירא מלובלין – מייסד הדף היומי (ה'תרמ""ז, 1887 – ה'תרצ""ד, 1934)"
מהר״ם,"מהר""ם",רבי מאיר בן ברוך מרוטנבורג,4,hebrew,False,True,wikipedia,,"רבי מאיר בן ברוך מרוטנבורג – המהר""ם מרוטנבורג (נפטר ה'נ""ג, 1293) מגדולי הפוסקים באשכנז בתקופת בעלי התוספות. פעמים רבות מתייחסים אליו כ'מהר""ם' סתם"
מהר״ם,"מהר""ם",רבי מאיר שיף,4,hebrew,False,True,wikipedia,,"רבי מאיר שיף – מהר""ם שיף (נפטר בגיל צעיר בשנת ה'ת""א, 1641)"
מהר״ם,"מהר""ם",רבי מרדכי בריסק,4,hebrew,False,True,wikipedia,,"רבי מרדכי בריסק – מהר""ם בריסק – ראש ישיבת טושאנד (אביב תרמ""ו, 1886 – י""א בסיוון ה'תש""ד, 2 ביוני 1944)"
מהר״ם,"מהר""ם",רבי מנחם דוד בן יצחק,3,hebrew,False,True,wikipedia,,"רבי מנחם דוד בן יצחק - ""מהר""ם טיקטין"", תלמיד הרמ""א, שימש כרבה של טיקטין, חידושיו על המרדכי הודפסו בשנת ה'שנ""ז"
מהר״ם,"מהר""ם",רבי מאיר הלוי איש הורוביץ,2,hebrew,False,True,wikipedia,,"רבי מאיר הלוי איש הורוביץ – ""מהר""ם טיקטין"", (ה'שצ""ז, 1637 – ה'תק""ד, 1744) – סבם של ""ההפלאה"" ור' שמעלקא מניקלשבורג"
מהר״ם,"מהר""ם",רבי מנחם מנדל אביגדורש,2,hebrew,False,True,wikipedia,,"רבי מנחם מנדל אביגדורש – מהר""ם מקרקא מנסח היתר העסקה הראשון (נפטר ה'שנ""ט, 1599)"
מהר״ם,"מהר""ם",דורותי מהרם,1,hebrew,False,False,wikipedia,,דורותי מהרם – מתמטיקאית אמריקנית
מהר״ם,"מהר""ם","מהר""ם רקנאטי",1,hebrew,True,True,wikipedia,,"מהר""ם רקנאטי – רבי מנחם רקנאטי, מראשוני איטליה, פוסק הלכה ומקובל (ה'י', 1250 – ה'ע', 1310)"
מהר״ם,"מהר""ם",מהרם (חברה),1,hebrew,True,False,wikipedia,,מהרם (חברה) – חברת טקסטיל גדולה
מהר״ם,"מהר""ם",משפט מהרם,1,hebrew,True,False,wikipedia,,משפט מהרם
מהר״ם,"מהר""ם","רבי מיכל ר' יוזפש (מהר""ם יוזפש)",1,hebrew,False,True,wikipedia,,"רבי מיכל ר' יוזפש (מהר""ם יוזפש) – מחבר הספר ""סדר השמות"" על גיטין"
מהר״ם,"מהר""ם",מורנו הרב רבי מאיר,0,hebrew,True,True,wiktionary,,#'''מ'''ורנו '''ה'''רב '''ר'''בי '''מ'''איר (מרוטנברג)
מהר״ם,"מהר""ם",מורנו הרב רבי מנדל,0,hebrew,True,True,wiktionary,,#'''מ'''ורנו '''ה'''רב '''ר'''בי '''מ'''נדל (אביגדורס מקרקא)
מהר״ש,"מהר""ש",רבי שלום רוקח,54,hebrew,False,True,wikipedia,,"רבי שלום רוקח, מהר""ש מבעלזא (תקמ""א, 1781 - תרט""ו, 1855) - אבי חסידות בעלז"
מהר״ש,"מהר""ש",רבי שמואל שניאורסון,40,hebrew,False,True,wikipedia,,"רבי שמואל שניאורסון, מהר""ש (תקצ""ד, 1834 - תרמ""ג, 1882) - האדמו""ר הרביעי בשושלת חב""ד"
מהר״ש,"מהר""ש",רבי שמואל יפה אשכנזי,12,hebrew,False,True,wikipedia,,"רבי שמואל יפה אשכנזי, מהר""ש יפה (רפ""ה, 1525 - שנ""ה, 1595) - מחבר הפירוש ""יפה תואר"" על מדרש רבה"
מהר״ש,"מהר""ש",רבי שלום מנוישטט,4,hebrew,False,True,wikipedia,,"רבי שלום מנוישטט, מהר""ש מוויען (-קע""ג, 1413) - מחבר הספר ""מנהגי מהר""ש"""
מהר״ש,"מהר""ש","רבי אהרן שמעון שפירא (ה'ש""ס, 1600",2,hebrew,False,True,wikipedia,,"רבי אהרן שמעון שפירא (ה'ש""ס, 1600 – כ""ט בכסלו ה'ת""מ, 3 בדצמבר 1679), מהר""ש מפראג"
מהר״ש,"מהר""ש",רבי שלום כהן מקושטא,1,hebrew,False,True,wikipedia,,"רבי שלום כהן מקושטא, מהר""ש כהן, מחבר שו""ת מהר""ש כהן"
מהר״ש,"מהר""ש","רבי שלמה בן יצחק הלוי (רצ""ב, 1532",1,hebrew,False,True,wikipedia,,"רבי שלמה בן יצחק הלוי (רצ""ב, 1532 - ש""ס, 1600) - ""מהר""ש לבית הלוי"""
מהר״ש,"מהר""ש",רבי שלמה בן יצחק לבית הלוי (השני),1,hebrew,False,True,wikipedia,,"רבי שלמה בן יצחק לבית הלוי (השני) - בעת שו""ת מהר""ש לבית הלוי"
מהר״ש,"מהר""ש",רבי שלמה מלובלין,1,hebrew,False,True,wikipedia,,"רבי שלמה מלובלין, ר' שלמה ר' לייביש'ס, מהר""ש מלובלין, מהרש""ל השני (-שנ""א, 1591) - בעל שו""ת מהר""ש מלובלין"
מהר״ש,"מהר""ש","רבי שמואל אנגל (תרי""ג, 1853",1,hebrew,False,True,wikipedia,,"רבי שמואל אנגל (תרי""ג, 1853 - תרצ""ה, 1935) - מגדולי רבני גליציה בזמנו. מחבר שו""ת מהר""ש ענגיל"
מה״ד,"מה""ד",משרד הדתות,322,hebrew,True,False,wiktionary,ממשל,"#{{משלב/ר""ת|ממשל}} [[משרד]] ה[[דת]]ות."
מה״ד,"מה""ד",משרד הדואר,204,hebrew,True,False,wiktionary,ממשל,"#{{משלב/ר""ת|ממשל}} משרד הדואר."
מה״ד,"מה""ד",מידת הדין,36,hebrew,True,False,wiktionary,יהדות,"#{{משלב/ר""ת|יהדות}} [[מידת הדין]]."
מה״ד,"מה""ד",מהא דכתיב (=מזה שכתוב),0,hebrew,True,False,wiktionary,ארמית,"#{{משלב/ר""ת|ארמית}} מהא דכתיב (=מזה שכתוב)."
מה״ד,"מה""ד",מהו דתימא (=מהו שתאמר),0,hebrew,True,False,wiktionary,ארמית,"#{{משלב/ר""ת|ארמית}} מהו דתימא (=מהו שתאמר)."
מה״ד,"מה""ד",מרכז/מחלקת הדרכה,0,hebrew,True,False,wiktionary,,#מרכז/מחלקת הדרכה.
מה״ט,"מה""ט",המכון הממשלת להכשרה בטכנולוגיה ובמדע,0,hebrew,False,False,wiktionary,,#המכון הממשלת להכשרה בטכנולוגיה ובמדע.
מה״ט,"מה""ט",מהאי טעמא,0,hebrew,True,False,wiktionary,,#מהאי טעמא.
מה״מ,"מה""מ",מלך המשיח,76,hebrew,True,False,wiktionary,,# מלך המשיח.
מה״מ,"מה""מ",מנא הני מילי (מניין דברים אלו),0,hebrew,True,False,wiktionary,,# מנא הני מילי (מניין דברים אלו).
מוכ״ז,"מוכ""ז",מוסר כתב זה,3,hebrew,True,False,wiktionary,,#מוסר כתב זה.
מו״ח,"מו""ח",מדעי החיים,548,hebrew,False,False,wiktionary,,# מדעי החיים.
מו״ח,"מו""ח",מורשה חתימה,10,hebrew,True,False,wiktionary,,# מורשה חתימה.
מו״מ,"מו""מ",משא ומתן,5791,hebrew,True,False,wiktionary,,#[[משא ומתן]].
מו״מ,"מו""מ",מקח וממכר,164,hebrew,True,False,wiktionary,,# [[מקח וממכר]]
מו״מ,"מו""מ",מרכב ומושב,0,hebrew,True,False,wiktionary,הלכה,#{{משלב|הלכה}} [[מרכב]] ו[[מושב]]
מזי״א,"מזי""א",מזרע ישראל איסרלן,2,hebrew,True,False,wiktionary,,#'''מז'''רע [[w:ישראל איסרלן|'''י'''שראל '''א'''יסרלן]].
מזי״א,"מזי""א",מזרע יהודים אנוסים,1,hebrew,True,False,wiktionary,,#מזרע יהודים אנוסים
מזל״ט,"מזל""ט",מזל טוב,653,hebrew,True,False,wiktionary,,#[[מזל טוב]].
מזל״ט,"מזל""ט",מטוז זעיר ללא טייס,0,hebrew,True,False,wiktionary,,#[[מטוס|'''מ'''טוז]] [[זעיר|'''ז'''עיר]] '''ל'''לא [[טיס#טַיָּס|'''ט'''ייס]].
מז״א,"מז""א",מזג אויר,33,hebrew,True,False,wiktionary,,# [[מזג אויר]].
מז״א,"מז""א",מה זאת אומרת?,8,hebrew,True,False,wiktionary,,# מה [[זאת אומרת]]?
מחב״ש,"מחב""ש",מחלקת ביטחון שדה,6,hebrew,True,False,wiktionary,,#מחלקת ביטחון שדה.
מחב״ש,"מחב""ש",מלוגמא חמין במוצאי שבת,0,hebrew,True,False,wiktionary,,#מלוגמא חמין במוצאי שבת.
מחמ״ד,"מחמ""ד",מחלקת המדינה,1096,hebrew,True,False,wiktionary,,# מחלקת המדינה.
מחמ״ד,"מחמ""ד",מנהלת החינוך הממלכתי-דתי,0,hebrew,True,False,wiktionary,,# מנהלת החינוך הממלכתי-דתי.
מח״ך,"מח""ך",מחיאות כפיים,262,hebrew,True,False,wiktionary,,#[[מחיאת כף|מחיאות כפיים]].
מח״ך,"מח""ך",מחילת כבודו,0,hebrew,True,False,wiktionary,,#[[מחילה#מְחִילָה|מחילת]] [[כבוד#כָּבוֹד|כבודו]].
מח״כ,"מח""כ",מחוסר כיפורים,15,hebrew,True,False,wiktionary,הלכה,# {{משלב|הלכה}} [[חסר#חֻסַּר|מחוסר]] [[כפור#כִּפּוּר|כיפורים]]
מח״כ,"מח""כ",מחילת כבודו,0,hebrew,True,False,wiktionary,,# [[מחילה|מחילת]] [[כבוד]]ו
מח״ל,"מח""ל",מתנדבי חוץ לארץ במלחמת העצמאות,2,hebrew,True,False,wiktionary,,# [[מתנדב]]י [[חוץ לארץ]] במלחמת העצמאות.
מח״ל,"מח""ל",מפלגת חרות לאומית,0,hebrew,True,False,wiktionary,,# [[מפלגה|מפלגת]] [[חרות]] [[לאומי]]ת.
מח״מ,"מח""מ",משך חיים ממוצע,5,hebrew,True,False,wiktionary,,# משך חיים ממוצע.
מח״מ,"מח""מ",מרכז חינוכי משותף,1,hebrew,True,False,wiktionary,,# מרכז חינוכי משותף.
מט״ח,"מט""ח",מטבע חוץ,238,hebrew,True,False,wiktionary,כלכלה,"#{{משלב/ר""ת|כלכלה}} [[מטבע חוץ]]."
מט״ח,"מט""ח",מרכז לטכנולוגיה חינוכית,4,hebrew,True,False,wiktionary,חינוך,"#{{משלב/ר""ת|חינוך}} מרכז ל[[טכנולוגיה]] [[חינוכי]]ת."
מט״ל,"מט""ל",מכון טכנולוגי לישראל,1189,hebrew,True,False,wiktionary,,# מכון טכנולוגי לישראל.
מט״ל,"מט""ל",מד טווח לייזר,45,hebrew,True,False,wiktionary,,# מד טווח לייזר
מט״ש,"מט""ש",מְכוֹן טִהוּר שְׁפָכִים,0,hebrew,True,False,wiktionary,,# [[מכון#מָכוֹן|מְכוֹן]] [[טהור#טִהוּר|טִהוּר]] [[שפכים|שְׁפָכִים]].
מט״ש,"מט""ש",מִתְקָן טִהוּר שְׁפָכִים,0,hebrew,True,False,wiktionary,,# [[מתקן#מִתְקָן|מִתְקָן]] [[טהור#טִהוּר|טִהוּר]] [[שפכים|שְׁפָכִים]].
מכב״י,"מכב""י","ראשי התיבות של ""מי כמוך באלים יהוה""",6,hebrew,False,False,wiktionary,,"# ראשי התיבות של ""מי כמוך באלים יהוה""."
מכב״י,"מכב""י",שם של אגודת ספורט,0,hebrew,False,False,wiktionary,,# שם של אגודת ספורט.
מכ״כ,"מכ""כ",מחלה של כלי הדם הכליליים,0,hebrew,True,False,wiktionary,רפואה,"# {{משלב/ר""ת|רפואה}} [[מחלה|'''מ'''חלה]] של [[כלי דם|'''כ'''לי ה'''ד'''ם]] [[עורקים כליליים|ה'''כ'''ליליים]]"
מכ״כ,"מכ""כ",מפקד כיתת כוננות,0,hebrew,True,False,wiktionary,צבא,"# {{משלב/ר""ת|צבא}} [[מפקד#מְפַקֵּד|'''מ'''פקד]] [[כתה#כִּתָּה|'''כ'''יתת]] [[כוננות]]"
מכ״ע,"מכ""ע",מכתב עת,16,hebrew,True,False,wiktionary,,#מכתב עת.
מלח״ם,"מלח""ם",המרכז לחקר מערות,36,hebrew,False,False,wiktionary,,# המרכז לחקר מערות.
מלמ״ש,"מלמ""ש",מיליון מטר מעוקב לשנה,6,hebrew,True,False,wiktionary,,# מיליון מטר מעוקב לשנה.
מלמ״ש,"מלמ""ש",מרכז ללימודי משטרה,1,hebrew,True,False,wiktionary,,# מרכז ללימודי משטרה.
מלר״ם,"מלר""ם",מוקד לשירותים רפואיים,0,hebrew,True,False,wiktionary,רפואה,"# {{משלב/ר""ת|רפואה}} [[מוקד|'''מ'''וקד]] '''ל'''[[שירות|שירותים]] [[רפואה|'''ר'''פואיים]]"
מלר״ם,"מלר""ם",מערך ל'רפואה מונעת,0,hebrew,True,False,wiktionary,רפואה,"# {{משלב/ר""ת|רפואה}} [[מערך|'''מ'''ערך]] '''ל'''[[רפואה|'''ר'''פואה]] [[מנע#מֶנַע|'''מ'''ונעת]]"
מל״ב,"מל""ב",מלכים ב',586,hebrew,True,False,wiktionary,,#[[ספר מלכים|מלכים]] ב'.
מל״ב,"מל""ב",מבלי לפגוע בזכויות,10,hebrew,True,False,wiktionary,,#מבלי לפגוע בזכויות
מל״ט,"מל""ט",מטוס ללא טייס,32,hebrew,True,False,wiktionary,,#[[מטוס]] ללא טייס.
מל״ט,"מל""ט",מיגו לחצי טענה,0,hebrew,True,False,wiktionary,ארון הספרים היהודי,"#{{משלב/ר""ת|ארון הספרים היהודי}} [[מיגו]] לחצי טענה"
מל״ל,"מל""ל",המוסד לביטוח לאומי,619,hebrew,False,False,wikipedia,,המוסד לביטוח לאומי
מל״ל,"מל""ל",המטה לביטחון לאומי,235,hebrew,False,False,wikipedia,,המטה לביטחון לאומי
מל״ל,"מל""ל",משה לייב ליליינבלום,204,hebrew,True,False,wikipedia,,משה לייב ליליינבלום – מראשי חובבי ציון ברוסיה
מל״ל,"מל""ל","כפר מל""ל",80,hebrew,False,False,wikipedia,,"כפר מל""ל – מושב השייך למועצה אזורית דרום השרון ונקרא על שם משה לייב ליליינבלום"
מל״ל,"מל""ל","מל""ל (חברה)",2,hebrew,True,False,wikipedia,,"מל""ל (חברה) – חברת מחשבים ולשכת שירות"
מל״ם,"מל""ם",המרכז למורשת המודיעין,272,hebrew,False,False,wiktionary,,# המרכז למורשת המודיעין.
מל״ם,"מל""ם",מוליך למחצה,142,hebrew,True,False,wiktionary,,# [[מוליך למחצה]].
מל״ם,"מל""ם",המרכז (הישראלי) לחינוך מדעי,2,hebrew,False,False,wiktionary,,# המרכז (הישראלי) לחינוך מדעי.
מל״ם,"מל""ם",מודיעין לקראת משימה,0,hebrew,True,False,wiktionary,"צה""ל","# {{משלב/ר""ת|צה""ל}} מודיעין לקראת משימה."
מל״ם,"מל""ם","משנה למלך, ספרו של רבי יהודה רוזאניס",0,hebrew,True,True,wiktionary,,"# משנה למלך, ספרו של רבי [[:W:יהודה רוזאניס|יהודה רוזאניס]]"
